train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes
0.0003,0.0003677211352623999,0.465481698513031,114196,57600,-0.59991219,17292,3,72.0,800
0.0003,0.00023141686688177288,0.4694402515888214,114484,57888,-0.60141526,17376,3,72.0,804
0.0003,0.0003366594610270113,0.47147291898727417,114772,58176,-0.59911139,17450,3,72.0,808
0.0003,0.000685783801600337,0.4694114029407501,115060,58464,-0.59398183,17528,3,72.0,812
0.0003,0.0004923880915157497,0.46394068002700806,115348,58752,-0.59517745,17609,3,72.0,816
0.0003,0.001050344086252153,0.46016091108322144,115636,59040,-0.5976020599999999,17694,3,72.0,820
0.0003,0.00018987254588864744,0.4591812789440155,115924,59328,-0.5940376500000001,17786,3,72.0,824
0.0003,9.986906661652029e-05,0.45393359661102295,116212,59616,-0.5957903600000001,17870,3,72.0,828
0.0003,0.00023142540885601193,0.4647483229637146,116500,59904,-0.59498756,17948,3,72.0,832
0.0003,0.00042916854727081954,0.4645058214664459,116788,60192,-0.5985263500000001,18030,3,72.0,836
